seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
26785a546900236d66f2e4197c211158,SP,5,5,4,429.6,17,0
26af45f5dfd967225a832838aa4e24a3,PR,1,1,1,26.0,20,0
26bad72add1f86e08a776ce4ffdaf1ca,SP,2,2,2,81.0,85,0
26d8a1c7c75d513045798992ead43aa2,PR,16,16,11,2569.8499999999995,16,0
270297ead4c65a6cd2593960d2af6b21,SP,8,9,8,3832.749999999999,20,0
2709af9587499e95e803a6498a5a56e9,SP,20,40,14,1006.580000000001,65,0
270d3ef21830ad0ecf3a6c53d08a533a,SP,2,7,2,201.0,3,0
272f092de69afedd4d2969440b37f18f,SP,25,39,24,1846.3300000000004,108,1
2745f798279e0ed033addcc1474776d7,SP,19,19,9,2431.3100000000004,16,0
27a56ff04b34c2ba34ce6ba4d3b9d616,SP,8,8,7,349.28999999999996,110,1
282c7480173bb9c01dd41cc739fec010,SP,5,8,4,4274.2,163,1
282f23a9769b2690c5dda22e316f9941,MG,42,47,22,2793.8,5,0
28d162ab86bb49d719c32f0ee6186eaa,SP,1,1,1,109.99,134,1
28ea411b354f14b1a494be4e79f0ce02,SP,6,6,6,820.0,1,1
28fb0829fd777877cdc350d25cb5bd5b,SP,2,2,2,279.8,70,1
293dee954235e4e4e43f129313625ebe,DF,8,8,6,1778.92,15,1
2953ce3a88f5e3c3b696d77fc9e4c8eb,SP,1,1,1,35.0,122,0
29fe9f200d3fa0c668d2aa1ec7e08dfb,SC,5,5,4,400.0,150,1
2a1348e9addc1af5aaa619b1a3679d6b,MG,33,36,25,1941.5000000000011,33,0
2a261b5b644fa05f4f2700eb93544f2c,SP,6,9,4,700.0,20,0
2a50b7ee5aebecc6fd0ff9784a4747d6,DF,1,2,1,199.8,65,1
2a5b78b41cd05baeac8df54c6606b92c,MG,16,19,13,2300.0099999999998,4,0
2a61c271b1ac763450d846849783e922,SP,14,19,6,1265.8,7,0
2a6fbeaa7ab9e5d59a35841a8da71ce4,SC,14,14,6,780.9999999999999,0,0
2a7c6c0b0d5efde2bf75ec1e1cec2d41,PR,3,3,3,147.6,51,1
2a7dc43cecabf23403078e2188437d1d,SP,28,29,11,2971.8600000000006,6,0
2a84855fd20af891be03bc5924d2b453,MG,34,34,17,3346.9000000000015,1,0
2aa3443d7bf9d9bb11133f420d75e083,RJ,6,6,4,437.4,8,0
2addf05f476d0637864454e93ba673d5,DF,10,10,7,3388.0,21,0
2b03ac196f5ed62ac483960fe0fa3b65,SP,6,6,4,758.0999999999999,17,0
2b1a40c1daabc6ca280c4b815c101841,MG,16,25,14,9379.719999999998,9,0
2b2fed75b8e5ea3a052fc4c0825da485,MG,3,4,3,510.9,182,1
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,36,38,10,17365.320000000003,1,0
2b5ed0c9139dae8883a200dfcb272ece,SP,4,4,1,85.41,85,1
2bd05d410a8fd26dc4184a15f4f2f588,MG,5,6,5,1286.74,102,1
2be17df1c49978426251562096c3cc09,SC,13,13,8,1723.2000000000003,48,0
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,15,15,14,24749.5,7,0
2c3d56f92f360fb89d849b84e8f50eae,SP,6,6,4,291.5,0,0
2c4c47cb51acd5ea5db5e0ae0e26542a,SP,6,7,3,1268.27,17,0
2c54051840f19eca309a5423cf22df36,PR,1,1,1,11.35,58,0
2c9e548be18521d1c43cde1c582c6de8,SP,36,45,10,1728.9700000000007,1,0
2cb4700db635baa1c0d4f90ed27b6669,PR,2,2,2,199.8,319,1
2d2c62bef4c8ba0dd74e0e228e808539,SP,2,2,2,545.0,14,0
2d378dbb39815785238c0139c7647fb7,SC,2,2,1,1154.0,258,1
2d50d6282f8aa2257819a77bfaa0efe0,SP,27,28,9,1704.8799999999999,1,0
2d8cfba3fcd3170555941605edaa196a,SP,1,1,1,45.0,322,1
2dd1fb6f0e42a2243b8a01e40cd41216,PR,3,4,3,686.89,281,1
2dee2ce60de9709b1a24083217181a1f,MT,49,50,7,6773.5,1,0
2e0dba2da448400b1c11d7b4b22f32a4,SP,7,13,5,235.86999999999995,254,1
2e13c71026e1a39ba5cc1b86dcb679aa,SP,2,2,2,342.0,8,0
2e1a7d075abe038c1b2743005fe42ff1,SP,12,14,10,771.5999999999998,8,0
2e1c9f22be269ef4643f826c9e650a52,SP,89,91,40,5669.499999999988,6,0
