sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
RO	Governador Jorge Teixeira	2022	26.58	39.34	0	8.33	57.79	65	2.05	59
RR	Pacaraima	2022	28.22	42.36	0	3.45	61.31	71	0.88	75
PA	Dom Eliseu	2022	54.89	83.26	100	2.56	45.28	88	9.94	77
PA	Jacundá	2022	57.21	90.04	100	3.09	78.77	45	5.31	47
PA	Tomé-Açu	2022	50.68	70.72	100	4.21	58.99	14	20.01	38
AP	Pedra Branca do Amapari	2022	46.39	63.07	100	3.89	53.60	17	1.59	61
AP	Oiapoque	2022	55.26	68.22	100	3.03	81.92	57	0.66	70
TO	Araguaína	2022	63.98	95.60	100	7.39	91.69	45	16.76	58
TO	Darcinópolis	2022	51.72	67.19	100	11.44	67.70	31	1.63	62
TO	Divinópolis do Tocantins	2022	31.25	75.62	0	7.12	47.45	65	1.19	72
TO	Santa Rosa do Tocantins	2022	55.91	73.48	100	17.89	93.75	6	0.85	46
TO	Xambioá	2022	40.47	89.77	0	7.92	92.00	33	3.34	69
MA	Araguanã	2022	42.30	44.90	100	7.45	38.43	49	6.53	37
MA	Igarapé do Meio	2022	48.29	59.90	100	4.77	36.34	66	16.33	59
MA	Matinha	2022	47.00	68.59	100	2.27	34.62	68	1.43	69
MA	Pindaré-Mirim	2022	53.76	90.85	100	3.18	35.57	73	13.31	71
MA	Pio XII	2022	52.47	68.57	100	5.33	57.66	61	4.38	78
MA	Senador Alexandre Costa	2022	45.61	71.23	100	3.26	40.75	12	1.60	72
PI	Bom Princípio do Piauí	2022	25.27	50.92	0	5.91	38.35	62	0.16	80
PI	Francisco Santos	2022	50.51	60.64	100	8.09	58.65	58	11.83	38
CE	Aracati	2022	64.27	93.01	100	7.10	72.51	83	24.04	70
CE	Ipaumirim	2022	55.45	98.76	100	9.65	58.93	18	4.78	70
CE	Juazeiro do Norte	2022	69.68	100.00	100	5.18	93.19	79	31.81	58
RN	Areia Branca	2022	36.19	83.94	0	3.46	64.65	75	14.43	32
RN	Arês	2022	31.68	100.00	0	5.03	44.30	12	0.58	79
RN	Itaú	2022	32.19	94.33	0	6.26	63.59	9	6.96	23
RN	Poço Branco	2022	29.51	84.18	0	5.38	42.99	61	3.47	34
RN	São Tomé	2022	26.90	70.44	0	8.35	51.23	24	4.74	29
RN	Severiano Melo	2022	32.65	96.29	0	9.11	50.50	8	8.35	58
PB	Cacimbas	2022	21.06	51.56	0	9.23	24.73	31	0.16	75
PB	Santa Cecília	2022	50.28	81.49	100	6.52	49.49	0	7.45	79
PB	Santa Inês	2022	26.75	61.21	0	15.49	46.11	64	4.81	14
PB	Santa Luzia	2022	64.52	94.11	100	3.34	73.37	70	32.63	63
PE	Ingazeira	2022	32.52	74.44	0	10.48	45.63	84	24.23	3
PE	Jucati	2022	49.74	98.98	100	2.89	27.69	47	4.75	59
PE	São Vicente Ferrer	2022	55.73	99.51	100	4.99	54.94	82	0.94	44
AL	Craíbas	2022	32.11	73.11	0	1.97	48.43	89	1.95	75
